Date,Trips over the past 24-hours,Miles traveled today,Miles traveled to date,Total Annual Members (All Time),24-Hour Passes Purchased,7-Day Passes Purchased,3-Day Passes Purchased
1/1/2014,6559,9254,11243581,95971,268,10,0
1/2/2014,9334,11736,11255317,96000,66,3,0
1/3/2014,1288,1855,11257172,96042,1,1,0
1/4/2014,2494,3706,11260878,96065,14,1,0
1/5/2014,2937,3720,11264598,96084,17,4,0
1/6/2014,10481,13016,11277613,96102,30,7,0
1/7/2014,7144,8200,11285814,96124,5,4,0
1/8/2014,10162,11768,11297582,96152,28,4,0
1/9/2014,14571,18401,11315983,96171,74,10,0
1/10/2014,10685,13433,11329416,96189,49,5,0
1/11/2014,8333,10735,11340151,96225,101,16,0
1/12/2014,13549,19141,11359291,96247,350,22,0
1/13/2014,22377,30829,11390121,96276,224,31,0
1/14/2014,10849,13271,11403392,96348,45,4,0
1/15/2014,23500,32303,11435695,96391,241,30,0
1/16/2014,21528,28807,11464502,96453,208,37,0
1/17/2014,21840,30773,11495275,96509,282,34,0
1/18/2014,10222,14596,11509870,96576,176,15,0
1/19/2014,9768,13591,11523461,96616,194,13,0
1/20/2014,14581,20103,11543564,96654,133,11,0
1/21/2014,4171,5429,11548993,96701,5,1,0
1/22/2014,2762,4061,11553054,96733,4,3,0
1/23/2014,5743,8336,11561390,96741,9,1,0
1/24/2014,6901,9375,11570765,96757,15,6,0
1/25/2014,4716,6004,11576770,96770,34,0,0
1/26/2014,5462,6691,11583461,96784,37,6,0
1/27/2014,14304,18127,11601588,96804,55,18,0
1/28/2014,11066,13722,11615310,96830,18,7,0
1/29/2014,10838,13394,11628704,96852,21,6,0
1/30/2014,13198,16914,11645618,96885,42,7,0
1/31/2014,15886,21541,11667159,96912,130,10,0
2/1/2014,13797,20707,11687866,96935,349,29,0
2/2/2014,15009,22915,11710781,96958,449,10,0
2/3/2014,2839,3635,11714416,96998,4,2,0
2/4/2014,9551,12708,11727124,97025,37,2,0
2/5/2014,3076,4603,11731727,97046,8,1,0
2/6/2014,8227,12641,11744368,97061,25,9,0
2/7/2014,9473,14206,11758574,97082,36,5,0
2/8/2014,6640,9563,11768137,97094,71,1,0
2/9/2014,5527,7806,11775942,97109,47,6,0
2/10/2014,7643,10867,11786809,97128,16,3,0
2/11/2014,9258,12570,11799379,97154,22,4,0
2/12/2014,9531,12691,11812070,97174,24,3,0
2/13/2014,978,1725,11813795,97184,3,1,0
2/14/2014,4029,6586,11820381,97191,16,8,0
2/15/2014,2512,3834,11824215,97205,23,2,0
2/16/2014,3362,5063,11829278,97221,34,2,0
2/17/2014,5433,8226,11837504,97233,40,10,0
2/18/2014,5727,8393,11845896,97243,19,2,0
2/19/2014,9485,14086,11859983,97262,45,6,0
2/20/2014,12971,18707,11878690,97280,103,11,0
2/21/2014,9545,12423,11891113,97307,59,8,0
2/22/2014,14261,25945,11917058,97341,730,31,0
2/23/2014,14567,25298,11942356,97379,666,35,0
2/24/2014,14119,19238,11961594,97435,79,10,0
2/25/2014,14003,17699,11979293,97511,50,14,0
2/26/2014,12168,15039,11994332,97556,35,7,0
2/27/2014,13138,16042,12010374,97584,54,10,0
2/28/2014,10483,13017,12023391,97612,46,12,0
3/1/2014,9944,14364,12037756,97650,255,11,0
3/2/2014,9017,12288,12050044,97687,196,12,0
3/3/2014,8618,12020,12062064,97727,44,3,0
3/4/2014,11494,14473,12076537,97768,36,11,0
